"region_name","checks_total","checks_percentage","population_total","population_percentage"
" Ανατολική Μακεδονία και Θράκη","206912","5","608182","6"
" Κεντρική Μακεδονία","535545","13","1880058","17"
" Δυτική Μακεδονία","216427","5","283689","3"
" Ήπειρος","165359","4","336856","3"
" Θεσσαλία","225953","6","732762","7"
" Ιόνιοι Νήσοι","46793","1","207855","2"
" Δυτική Ελλάδα","176491","4","679796","6"
" Στερεά Ελλάδα","164182","4","547390","5"
" Αττική","1744499","44","3827624","35"
" Πελοπόννησος","87209","2","577903","5"
" Β. Αιγαίο","148994","4","199231","2"
" Ν. Αιγαίο","108226","3","308975","3"
" Κρήτη","156790","4","623065","6"
"Σύνολα","3983380","100","10815197","100"
