location,date,variant,num_sequences,perc_sequences,num_sequences_total
Greece,2020-05-11,Alpha,0,0.0,8
Greece,2020-05-11,B.1.1.277,0,0.0,8
Greece,2020-05-11,B.1.1.302,0,0.0,8
Greece,2020-05-11,B.1.1.519,0,0.0,8
Greece,2020-05-11,B.1.160,0,0.0,8
Greece,2020-05-11,B.1.177,0,0.0,8
Greece,2020-05-11,B.1.221,0,0.0,8
Greece,2020-05-11,B.1.258,0,0.0,8
Greece,2020-05-11,B.1.367,0,0.0,8
Greece,2020-05-11,B.1.620,0,0.0,8
Greece,2020-05-11,Beta,0,0.0,8
Greece,2020-05-11,Delta,0,0.0,8
Greece,2020-05-11,Epsilon,0,0.0,8
Greece,2020-05-11,Eta,0,0.0,8
Greece,2020-05-11,Gamma,0,0.0,8
Greece,2020-05-11,Iota,0,0.0,8
Greece,2020-05-11,Kappa,0,0.0,8
Greece,2020-05-11,Lambda,0,0.0,8
Greece,2020-05-11,Mu,0,0.0,8
Greece,2020-05-11,Omicron,0,0.0,8
Greece,2020-05-11,S:677H.Robin1,0,0.0,8
Greece,2020-05-11,S:677P.Pelican,0,0.0,8
Greece,2020-05-11,others,8,100.0,8
Greece,2020-05-11,non_who,8,100.0,8
Greece,2020-05-25,Alpha,0,0.0,8
Greece,2020-05-25,B.1.1.277,0,0.0,8
Greece,2020-05-25,B.1.1.302,0,0.0,8
Greece,2020-05-25,B.1.1.519,0,0.0,8
Greece,2020-05-25,B.1.160,0,0.0,8
Greece,2020-05-25,B.1.177,0,0.0,8
Greece,2020-05-25,B.1.221,0,0.0,8
Greece,2020-05-25,B.1.258,0,0.0,8
Greece,2020-05-25,B.1.367,0,0.0,8
Greece,2020-05-25,B.1.620,0,0.0,8
Greece,2020-05-25,Beta,0,0.0,8
Greece,2020-05-25,Delta,0,0.0,8
Greece,2020-05-25,Epsilon,0,0.0,8
Greece,2020-05-25,Eta,0,0.0,8
Greece,2020-05-25,Gamma,0,0.0,8
Greece,2020-05-25,Iota,0,0.0,8
Greece,2020-05-25,Kappa,0,0.0,8
Greece,2020-05-25,Lambda,0,0.0,8
Greece,2020-05-25,Mu,0,0.0,8
Greece,2020-05-25,Omicron,0,0.0,8
Greece,2020-05-25,S:677H.Robin1,0,0.0,8
Greece,2020-05-25,S:677P.Pelican,0,0.0,8
Greece,2020-05-25,others,8,100.0,8
Greece,2020-05-25,non_who,8,100.0,8
Greece,2020-08-03,Alpha,0,0.0,2
Greece,2020-08-03,B.1.1.277,0,0.0,2
Greece,2020-08-03,B.1.1.302,0,0.0,2
Greece,2020-08-03,B.1.1.519,0,0.0,2
Greece,2020-08-03,B.1.160,0,0.0,2
Greece,2020-08-03,B.1.177,0,0.0,2
Greece,2020-08-03,B.1.221,0,0.0,2
Greece,2020-08-03,B.1.258,0,0.0,2
Greece,2020-08-03,B.1.367,0,0.0,2
Greece,2020-08-03,B.1.620,0,0.0,2
Greece,2020-08-03,Beta,0,0.0,2
Greece,2020-08-03,Delta,0,0.0,2
Greece,2020-08-03,Epsilon,0,0.0,2
