lockdown_number,lockdown_week,calendar_week,start_date,end_date,notes
1,1,13,2020-03-23,2020-03-29,
1,2,14,2020-03-30,2020-04-05,
1,3,15,2020-04-06,2020-04-12,
1,4,16,2020-04-13,2020-04-19,
1,5,17,2020-04-20,2020-04-26,
1,6,18,2020-04-27,2020-05-03,
1,7,19,2020-05-04,2020-05-10,SMS lifting
1,8,20,2020-05-11,2020-05-17,Retail / Schools opening
1,9,21,2020-05-18,2020-05-24,Church / Transportation opening
1,10,22,2020-05-25,2020-05-31,Dinning opening
2,2,45,2020-11-07,2020-11-08,First weekend of 2nd lockdown
2,3,46,2020-11-09,2020-11-15,
2,4,47,2020-11-16,2020-11-22,
2,5,48,2020-11-23,2020-11-29,
2,6,49,2020-11-30,2020-12-06,
2,7,50,2020-12-07,2020-12-13,
2,8,51,2020-12-14,2020-12-20,
