Α/Α,ΥΠΟΥΡΓΕΙΟ,ΑΠΟΦΑΣΕΙΣ/ΜΕΤΡΑ,ΔΙΑΤΑΞΕΙΣ,ΦΕΚ,ΠΡΟΘΕΣΜΙΑ ΕΩΣ:,LINK,ΣΧΟΛΙΑ - ΛΗΞΗ
1,ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ - ΥΓΕΙΑΣ,"Αριθμ. Δ1α/ΓΠ.οικ. 13530
 Επιβολή προληπτικού μέτρου προσωρινής αναστολής λειτουργίας του 105oυ Δημοτικού Σχολείου Θεσσαλονίκης την 27.02.2020","Άρθρο πρώτο, παράγραφος στ’ της Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (ΦΕΚ 42 Α’)",Β647/27-2-20,27/2/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8tmG1emqjdPJ5MXD0LzQTLf7MGgcO23N88knBzLCmTXKaO6fpVZ6Lx3UnKl3nP8NxdnJ5r9cmWyJWelDvWS_18kAEhATUkJb0x1LIdQ163nV9K--td6SIuRz4eBkZh5c-0KCt-S7mm3uf_SfOQiuJ_9ntzdUrtJuZ,Απορροφήθηκε από ΦΕΚ 783 Β΄ έως 24/3 (όλες οι εκπαιδευτικές δομές) κι έπειτα από ΦΕΚ 956 Β΄ έως 10/4 (όλες οι εκπαιδευτικές δομές και οι εκδρομές). Παρατάθηκε εκ νέου με ΦΕΚ 1293 Β'/10-4-20)
2,ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ - ΥΓΕΙΑΣ,"Αριθμ. Δ1α/ΓΠ.οικ. 13775 
 Επιβολή του προληπτικού μέτρου προσωρινής αναστολής λειτουργίας του 105ου Δημοτικού Σχολείου Θεσσαλονίκης για δεκατέσσερις ημέρες","Άρθρο πρώτο, παράγραφος 2 περίπτωση στ΄ της από 25-2-2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42)",Β648/27-2-20,12/03/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8zZJefhNQJvJ5MXD0LzQTLf7MGgcO23N88knBzLCmTXKaO6fpVZ6Lx3UnKl3nP8NxdnJ5r9cmWyJWelDvWS_18kAEhATUkJb0x1LIdQ163nV9K--td6SIuZwBRXbA_CswS_9-RTlYSVM9jprveIKHr8dXP4nw7p7j,Απορροφήθηκε από ΦΕΚ 783 Β΄ έως 24/3 (όλες οι εκπαιδευτικές δομές) κι έπειτα από ΦΕΚ 956 Β΄ έως 10/4 (όλες οι εκπαιδευτικές δομές και οι εκδρομές). Παρατάθηκε εκ νέου με ΦΕΚ 1293 Β'/10-4-20)
3,ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΥΓΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ - ΕΣΩΤΕΡΙΚΩΝ,"Αριθμ. 13776
 Ματαίωση αποκριάτικων εκδηλώσεων και εκδηλώσεων Καθαράς Δευτέρας","Άρθρο πρώτο, παράγραφος 2 περίπτωση ζ΄ της από 25-2-2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42)",Β648/27-2-20,02/03/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8zZJefhNQJvJ5MXD0LzQTLf7MGgcO23N88knBzLCmTXKaO6fpVZ6Lx3UnKl3nP8NxdnJ5r9cmWyJWelDvWS_18kAEhATUkJb0x1LIdQ163nV9K--td6SIuZwBRXbA_CswS_9-RTlYSVM9jprveIKHr8dXP4nw7p7j,Λήξη άπαξ
4,ΥΓΕΙΑΣ,"Αριθμ. 13788
 Επιβολή του μέτρου προσωρινού περιορισμού μαθητών Α΄ τμήματος Δ΄ τάξης του 105ου Δημοτικού Σχολείου Θεσσαλονίκης, συνοδών, οδηγού μεταφορικού μέσου και εκπαιδευτικών ιδίου τμήματος",Άρθρο πρώτο παράγραφος 2 περίπτωση ε’ της από 25-2-2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42),Β649/27-2-20,12/03/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8NiraldKF_IZ5MXD0LzQTLf7MGgcO23N88knBzLCmTXKaO6fpVZ6Lx3UnKl3nP8NxdnJ5r9cmWyJWelDvWS_18kAEhATUkJb0x1LIdQ163nV9K--td6SIuQ-TWifaNH4eyRE9C9QFleFL8mIwbq_HpagdkWHUbbnt,Απορροφήθηκε από ΦΕΚ 783 Β΄ έως 24/3 (όλες οι εκπαιδευτικές δομές) κι έπειτα από ΦΕΚ 956 Β΄ έως 10/4 (όλες οι εκπαιδευτικές δομές και οι εκδρομές). Παρατάθηκε εκ νέου με ΦΕΚ 1293 Β'/10-4-20)
5,ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ - ΥΓΕΙΑΣ,"Αριθμ. Δ1α/Γ.Π.οικ. 14154
 Επιβολή του προληπτικού μέτρου προσωρινής αναστολής λειτουργίας του Νηπιαγωγείου «Ι.Μ.ΚΑΡΡΑΣ», του Γυμνασίου και Λυκείου του Κολλεγίου Αθηνών και του Γυμνασίου και Λυκείου του Κολλεγίου Ψυχικού την 28.02.2020","Άρθρο πρώτο, παράγραφος 2 περίπτωση στ΄ της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορσμού της διάδοσης κορωνοϊού» (Α΄ 42)",Β665/28-2-20,28/02/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8UYvrtfJq1xJ5MXD0LzQTLf7MGgcO23N88knBzLCmTXKaO6fpVZ6Lx3UnKl3nP8NxdnJ5r9cmWyJWelDvWS_18kAEhATUkJb0x1LIdQ163nV9K--td6SIubdHD9uHEw2cHVyZX96wZyeHvJlbPce4Iw7GjtlsgQSo,Απορροφήθηκε από ΦΕΚ 783 Β΄ έως 24/3 (όλες οι εκπαιδευτικές δομές) κι έπειτα από ΦΕΚ 956 Β΄ έως 10/4 (όλες οι εκπαιδευτικές δομές και οι εκδρομές). Παρατάθηκε εκ νέου με ΦΕΚ 1293 Β'/10-4-20)
6,ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ - ΥΓΕΙΑΣ,"Αριθμ. Δ1α/Γ.Π.οικ. 14166 (2)
 Επιβολή του μέτρου προσωρινής αναστολής λειτουργίας σχολείων του Νομού Αττικής την 28.02.2020","Άρθρο πρώτο, παράγραφος 2 περίπτωση στ΄ της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42)",Β665/28-2-20,28/02/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8UYvrtfJq1xJ5MXD0LzQTLf7MGgcO23N88knBzLCmTXKaO6fpVZ6Lx3UnKl3nP8NxdnJ5r9cmWyJWelDvWS_18kAEhATUkJb0x1LIdQ163nV9K--td6SIubdHD9uHEw2cHVyZX96wZyeHvJlbPce4Iw7GjtlsgQSo,Απορροφήθηκε από ΦΕΚ 783 Β΄ έως 24/3 (όλες οι εκπαιδευτικές δομές) κι έπειτα από ΦΕΚ 956 Β΄ έως 10/4 (όλες οι εκπαιδευτικές δομές και οι εκδρομές). Παρατάθηκε εκ νέου με ΦΕΚ 1293 Β'/10-4-20)
7,ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ - ΥΓΕΙΑΣ,"Αριθμ. Δ1α/Γ.Π.οικ. 14243
 Προσωρινή αναστολή όλων των οργανωμένων εκπαιδευτικών εκδρομών εκτός Ελλάδος",Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42),Β666/28-2-20,13/03/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL80N3_ZVEu26x5MXD0LzQTLf7MGgcO23N88knBzLCmTXKaO6fpVZ6Lx3UnKl3nP8NxdnJ5r9cmWyJWelDvWS_18kAEhATUkJb0x1LIdQ163nV9K--td6SIuWUsWJ8hGcgj_QpWY8bavFBcauJpd7Gwfw9RUu-D7YRy,Απορροφήθηκε από ΦΕΚ 724 Β΄ έως 22/3 κι έπειτα από ΦΕΚ 956 Β΄ έως 10/4. Παρατάθηκε εκ νέου με ΦΕΚ 1293 Β'/10-4-20)
8,ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ - ΥΓΕΙΑΣ,"Αριθμ. Δ1α/ΓΠ.οικ. 14246
 Επιβολή μέτρου προσωρινής αναστολής λειτουργίας επιμέρους σχολείων της Χώρας","Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (ΦΕΚ Α΄ 42) και ιδίως η περίπτωση στ’ της παραγράφου 2, και της παρ. 4 αυτού",Β668/2-3-20,"1.Προσωρινή αναστολή λειτουργίας των ακόλουθων σχολείων: 4ο ΓΕΛ ΧΑΪΔΑΡΙΟΥ, 11ο ΛΥΚΕΙΟ ΠΕΡΙΣΤΕΡΙΟΥ, 1ο ΠΕΙΡΑΜΑΤΙΚΟ ΛΥΚΕΙΟ ΑΘΗΝΩΝ, 1ο ΓΥΜΝΑΣΙΟ ΓΛΥΦΑΔΑΣ, 1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΓΛΥΦΑΔΑΣ, 19ο ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΡΙΣΤΕΡΙΟΥ, 5ο ΔΗΜΟΤΙΚΟ ΠΕΡΙΣΤΕΡΙΟΥ, 4ο ΓΥΜΝΑΣΙΟ ΧΑΪΔΑΡΙΟΥ, 14ο ΓΥΜΝΑΣΙΟ ΠΕΡΙΣΤΕΡΙΟΥ, ΛΕΟΝΤΕΙΟ ΛΥΚΕΙΟ ΠΑΤΗΣΙΩΝ για προληπτικούς λόγους δημόσιας υγείας για χρονικό διάστημα από 3.3.2020 έως και 13.3.2020, κατά τα αναφερόμενα στην από 2.3.2020 εισήγηση της Εθνικής Επιτροπής Προστασίας Δημόσιας Υγείας έναντι του κορωνοϊού COVID-19. 
 2. Προσωρινή αναστολή λειτουργίας των ακόλουθων σχολείων: 5ο ΔΙΑΠΟΛΙΤΙΣΜΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΝΕΜΕΝΗΣ, 3ο ΔΙΑΠΟΛΙΤΙΣΜΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΝΕΜΕΝΗΣ, 2ο ΝΗΠΙΑΓΩΓΕΙΟ ΜΕΝΕΜΕΝΗΣ, 3ο ΓΥΜΝΑΣΙΟ ΜΕ ΛΥΚΕΙΑΚΕΣ ΤΑΞΕΙΣ ΜΕΝΕΜΕΝΗΣ για προληπτικούς λόγους δημόσιας υγείας για χρονικό διάστημα από 3.3.2020 έως και 17.3.2020, κατά τα αναφερόμενα στην από 2.3.2020 εισήγηση της Εθνικής Επιτροπής Προστασίας Δημόσιας Υγείας έναντι του κορωνοϊού COVID-19. 
 3. Προσωρινή αναστολή λειτουργίας των ακόλουθων σχολείων για προληπτικούς λόγους δημόσιας υγείας για τα ακόλουθα αναλυτικά αναφερόμενα χρονικά διαστήματα: Νηπιαγωγείο «Ι.Μ. ΚΑΡΡΑΣ» από 3.3.2020 έως και 8.3.2020, Γυμνάσιο και Λύκειο του Κολλεγίου Αθηνών από 3.3.2020 έως και 8.3.2020 Γυμνάσιο και Λύκειο του Κολλεγίου Ψυχικού από 3.3.2020 έως και 8.3.2020, 1ο ΕΠΑΛ Αμπελοκήπων Θεσσαλονίκης από 3.3.2020 έως και 8.3.2020, 2ο ΓΕΛ Αμπελοκήπων Θεσσαλονίκης από 3.3.2020 έως και 8.3.2020, 1ο Γυμνάσιο Αμπελοκήπων Θεσσαλονίκης από 3.3.2020 έως και 8.3.2020, 2ο Γυμνάσιο Αμπελοκήπων Θεσσαλονίκης από 3.3.2020 έως και 8.3.2020, 3ο ΓΕΛ Ξάνθης από 3.3.2020 έως και 6.3.2020, 1ο ΕΠΑΛ Επανομής από 3.3.2020 έως και 11.3.2020, 8ο ΕΚ Επανομής από 3.3.2020 έως και 11.3.2020, 37ο Δημοτικό σχολείο Θεσσαλονίκης από 3.3.2020 έως και 7.3.2020, 64ο Νηπιαγωγείο Θεσσαλονίκης από 3.3.2020 έως και 7.3.2020, 17ο Γυμνάσιο Αθήνας από 3.3.2020 έως και 7.3.2020, 17ο ΓΕΛ Αθήνας από 3.3.2020 έως και 7.3.2020",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8gilvMcAph-l5MXD0LzQTLf7MGgcO23N88knBzLCmTXKaO6fpVZ6Lx3UnKl3nP8NxdnJ5r9cmWyJWelDvWS_18kAEhATUkJb0x1LIdQ163nV9K--td6SIuUYoX0Gqr7HzA_UciI36CGrKTpbPGEgIMntbQoZbBzxO,Απορροφήθηκε από ΦΕΚ 783 Β΄ έως 24/3 (όλες οι εκπαιδευτικές δομές) κι έπειτα από ΦΕΚ 956 Β΄ έως 10/4 (όλες οι εκπαιδευτικές δομές και οι εκδρομές). Παρατάθηκε εκ νέου με ΦΕΚ 1293 Β'/10-4-20)
9,ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΥΓΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟY - ΕΣΩΤΕΡΙΚΩΝ,"Αριθμ. Δ1α/ΓΠ.οικ. 15071 
 Επιβολή του μέτρου προσωρινής απαγόρευσης λειτουργίας θεάτρων, κινηματογράφων, χώρων αθλητικών και καλλιτεχνικών εκδηλώσεων, αρχαιολογικών χώρων και μουσείων των Περιφερειακών Ενοτήτων Ηλείας, Αχαΐας και Ζακύνθου, για το χρονικό διάστημα από 5.3.2020 έως και 6.3.2020",Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42) και ιδίως η περίπτωση ζ’ της παραγράφου 2 και της παρ. 4 αυτού,Β701/4-3-20,06/03/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL88XUs7VgsV5N5MXD0LzQTLf7MGgcO23N88knBzLCmTXKaO6fpVZ6Lx3UnKl3nP8NxdnJ5r9cmWyJWelDvWS_18kAEhATUkJb0x1LIdQ163nV9K--td6SIuSMrQt3QmIrJ2ACm4QA9iJAQ7CtqSAIxOn_nxYTUc8oH,"Απορροφήθηκε από ΦΕΚ 723 Β΄ έως 18/3, έπειτα από ΦΕΚ 855 Β΄ έως 27/3 (στο σύνολο της Επικράτειας) κι έπειτα από ΦΕΚ 1081 Β΄ έως 11/4 (αποτυπωμένα σε επιμέρους ΚΑΔ). Συμπληρώθηκε με ΦΕΚ 1167 Β΄/3-4-20. Παρατάθηκε εκ νέου με ΦΕΚ 1299 Β΄/10-4-20 έως 27/4"
10,ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ - ΥΓΕΙΑΣ,"Αριθμ. Δ1α/ΓΠ.οικ. 15072 
 Επιβολή του μέτρου προσωρινής απαγόρευσης λειτουργίας όλων των σχολικών μονάδων και πάσης φύσεως εκπαιδευτικών δομών, φορέων και ιδρυμάτων, δημοσίων και ιδιωτικών, κάθε τύπου και βαθμού, των Περιφερειακών Ενοτήτων Ηλείας, Αχαΐας και Ζακύνθου, για το χρονικό διάστημα από 5.3.2020 έως και 6.3.2020",Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42) και ιδίως της περίπτωσης στ’ της παραγράφου 2 και της παρ. 4 αυτού,Β701/4-3-20,06/03/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL88XUs7VgsV5N5MXD0LzQTLf7MGgcO23N88knBzLCmTXKaO6fpVZ6Lx3UnKl3nP8NxdnJ5r9cmWyJWelDvWS_18kAEhATUkJb0x1LIdQ163nV9K--td6SIuSMrQt3QmIrJ2ACm4QA9iJAQ7CtqSAIxOn_nxYTUc8oH,Απορροφήθηκε από ΦΕΚ 783 Β΄ έως 24/3 (όλες οι εκπαιδευτικές δομές) κι έπειτα από ΦΕΚ 956 Β΄ έως 10/4 (όλες οι εκπαιδευτικές δομές και οι εκδρομές). Παρατάθηκε εκ νέου με ΦΕΚ 1293 Β'/10-4-20)
