id;type;full_date;year;month;title;fek;page;tomos;tomos_url
1;ΠΡΑΞΗ ΝΟΜΟΘΕΤΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ;25.2.2020;2020;2;Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού;(Α΄ 42);15;Ι;https://tinyurl.com/pandektis01
2;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ – ΥΓΕΙΑΣ Αριθμ. Δ1α/ΓΠ.οικ. 13530;26/27.2.2020;2020;2;Επιβολή προληπτικού μέτρου προσωρινής αναστολής λ ειτουργίας του 105oυ Δημοτικού Σχολείου Θεσσαλονίκης την 27.02.2020;(Β΄ 647);59;Ι;https://tinyurl.com/pandektis01
3;ΑΠΟΦΑΣΗ ΥΦΥΠΟΥΡΓΟΥ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ - ΥΠΟΥΡΓΟΥ ΥΓΕΙΑΣ Αριθμ. Δ1α/ΓΠ.οικ. 13775;27/27.2.2020;2020;2;Επιβολή του προληπτικού μέτρου προ σωρινής αναστολής λειτουργίας του 105ου Δημοτικού Σχολείου Θεσσαλονίκης για δεκατέσσερις ημέρες;(Β΄ 648);60;Ι;https://tinyurl.com/pandektis01
4;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΥΓΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ – ΕΣΩΤΕΡΙΚΩΝ Αριθμ. 13776;27/27.2.2020;2020;2;Ματαίωση αποκριάτικων εκδηλώσεων και εκδηλώσεων Καθαράς Δευτέρας;(Β΄ 648);61;Ι;https://tinyurl.com/pandektis01
5;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΟΥ ΥΓΕΙΑΣ Αριθμ. 13788;27/27.2.2020;2020;2;Επιβολή του μέτρου προσωρινού περιορισμού μαθητών Α΄ τμήματος Δ΄ τάξης του 105ου Δημοτικού Σχολείου Θεσσαλονίκης, συνοδών, οδηγού μεταφορικού μέσου και εκπαιδευτικών ιδίου τμήματος;(Β΄ 649);62;Ι;https://tinyurl.com/pandektis01
6;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ – ΥΓΕΙΑΣ Αριθμ. Δ1α/Γ.Π.οικ. 14154;28/28.2.2020;2020;2;Επιβολή του προληπτικού μέτρου προσωρινής αναστολής λειτουργίας του Νηπιαγωγείου «Ι.Μ. ΚΑΡΡΑΣ;(Β΄ 665);63;Ι;https://tinyurl.com/pandektis01
7;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ – ΥΓΕΙΑΣ Αριθμ. Δ1α/Γ.Π.οικ. 14166;28/28.2.2020;2020;2;Επιβολή του μέτρου προσωρινής αναστολής λειτουργίας σχολείων του Νομού Αττικής την 28.02.2020;(Β΄ 665);64;Ι;https://tinyurl.com/pandektis01
8;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ - ΥΓΕΙΑΣ Αριθμ. Δ1α/Γ.Π.οικ. 14243;28/28.2.2020;2020;2;Προσωρινή αναστολή όλων των οργανωμένων εκπαιδευτικών εκδρομών εκτός Ελλάδος;(Β΄ 666);64;Ι;https://tinyurl.com/pandektis01
9;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ – ΥΓΕΙΑΣ Αριθμ. Δ1α/ΓΠ.οικ. 14246;2/2.3.2020;2020;3;Επιβολή μέτρου προσωρινής αναστολής λειτουργίας επιμέρους σχολείων της Χώρας;(Β΄ 668);65;Ι;https://tinyurl.com/pandektis01
10;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΥΓΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟY – ΕΣΩΤΕΡΙΚΩΝ Αριθμ. Δ1α/ΓΠ.οικ. 15071;4/4.3.2020;2020;3;Επιβολή του μέτρου προσωρινής απαγόρευσης λειτουργίας θεάτρων, κινηματογράφων, χώρων αθλητικών και καλλιτεχνικών εκδηλώσεων, αρχαιολογικών χώρων και μουσείων των Περιφερειακών Ενοτήτων Ηλείας, Αχαΐας και Ζακύνθου, για το χρονικό διάστημα από 5.3.2020 έως και 6.3.2020;(Β΄ 701);66;Ι;https://tinyurl.com/pandektis01
