country,city,date,congestion,diffRatio
Greece,Athens,2019-12-30,50,0.3888888888888889
Greece,Athens,2019-12-31,31,-0.225
Greece,Athens,2020-01-01,9,-0.7857142857142857
Greece,Athens,2020-01-02,26,-0.3953488372093023
Greece,Athens,2020-01-03,38,-0.13636363636363635
Greece,Athens,2020-01-04,22,0.1
Greece,Athens,2020-01-05,11,-0.08333333333333333
Greece,Athens,2020-01-06,11,-0.6944444444444444
Greece,Athens,2020-01-07,43,0.075
Greece,Athens,2020-01-08,49,0.16666666666666666
Greece,Athens,2020-01-09,51,0.18604651162790692
Greece,Athens,2020-01-10,53,0.20454545454545456
Greece,Athens,2020-01-11,24,0.2
Greece,Athens,2020-01-12,12,0.0
Greece,Athens,2020-01-13,45,0.25
Greece,Athens,2020-01-14,47,0.175
Greece,Athens,2020-01-15,46,0.09523809523809523
Greece,Athens,2020-01-16,45,0.04651162790697674
Greece,Athens,2020-01-17,48,0.09090909090909093
Greece,Athens,2020-01-18,24,0.2
Greece,Athens,2020-01-19,16,0.3333333333333333
Greece,Athens,2020-01-20,44,0.2222222222222222
Greece,Athens,2020-01-21,44,0.1
Greece,Athens,2020-01-22,46,0.09523809523809523
Greece,Athens,2020-01-23,44,0.02325581395348837
Greece,Athens,2020-01-24,47,0.06818181818181818
Greece,Athens,2020-01-25,25,0.25
Greece,Athens,2020-01-26,13,0.08333333333333333
Greece,Athens,2020-01-27,47,0.3055555555555556
Greece,Athens,2020-01-28,45,0.125
Greece,Athens,2020-01-29,44,0.047619047619047616
Greece,Athens,2020-01-30,38,-0.11627906976744184
Greece,Athens,2020-01-31,47,0.06818181818181818
Greece,Athens,2020-02-01,25,0.25
Greece,Athens,2020-02-02,16,0.3333333333333333
Greece,Athens,2020-02-03,41,0.1388888888888889
Greece,Athens,2020-02-04,45,0.125
Greece,Athens,2020-02-05,44,0.047619047619047616
Greece,Athens,2020-02-06,46,0.06976744186046513
Greece,Athens,2020-02-07,51,0.1590909090909091
Greece,Athens,2020-02-08,23,0.15
Greece,Athens,2020-02-09,15,0.25
Greece,Athens,2020-02-10,43,0.19444444444444445
Greece,Athens,2020-02-11,46,0.15
Greece,Athens,2020-02-12,46,0.09523809523809523
Greece,Athens,2020-02-13,45,0.04651162790697674
Greece,Athens,2020-02-14,48,0.09090909090909093
Greece,Athens,2020-02-15,22,0.1
Greece,Athens,2020-02-16,14,0.16666666666666666
Greece,Athens,2020-02-17,44,0.2222222222222222
Greece,Athens,2020-02-18,47,0.175
Greece,Athens,2020-02-19,51,0.21428571428571427
Greece,Athens,2020-02-20,56,0.3023255813953488
Greece,Athens,2020-02-21,44,0.0
Greece,Athens,2020-02-22,23,0.15
Greece,Athens,2020-02-23,13,0.08333333333333333
Greece,Athens,2020-02-24,41,0.1388888888888889
Greece,Athens,2020-02-25,48,0.2
Greece,Athens,2020-02-26,47,0.11904761904761905
Greece,Athens,2020-02-27,50,0.16279069767441862
Greece,Athens,2020-02-28,52,0.18181818181818185
Greece,Athens,2020-02-29,18,-0.1
Greece,Athens,2020-03-01,10,-0.16666666666666666
Greece,Athens,2020-03-02,8,-0.7777777777777778
Greece,Athens,2020-03-03,43,0.075
Greece,Athens,2020-03-04,45,0.07142857142857142
Greece,Athens,2020-03-05,46,0.06976744186046513
Greece,Athens,2020-03-06,46,0.045454545454545456
Greece,Athens,2020-03-07,21,0.05
Greece,Athens,2020-03-08,11,-0.08333333333333333
Greece,Athens,2020-03-09,57,0.5833333333333334
Greece,Athens,2020-03-10,44,0.1
Greece,Athens,2020-03-11,36,-0.14285714285714285
Greece,Athens,2020-03-12,32,-0.2558139534883721
Greece,Athens,2020-03-13,30,-0.3181818181818182
Greece,Athens,2020-03-14,11,-0.45
Greece,Athens,2020-03-15,3,-0.75
Greece,Athens,2020-03-16,18,-0.5
Greece,Athens,2020-03-17,17,-0.575
Greece,Athens,2020-03-18,14,-0.6666666666666666
Greece,Athens,2020-03-19,14,-0.6744186046511628
Greece,Athens,2020-03-20,15,-0.6590909090909091
Greece,Athens,2020-03-21,6,-0.7
Greece,Athens,2020-03-22,1,-0.9166666666666666
Greece,Athens,2020-03-23,13,-0.6388888888888888
Greece,Athens,2020-03-24,11,-0.725
Greece,Athens,2020-03-25,1,-0.9761904761904762
Greece,Athens,2020-03-26,14,-0.6744186046511628
Greece,Athens,2020-03-27,15,-0.6590909090909091
Greece,Athens,2020-03-28,5,-0.75
Greece,Athens,2020-03-29,0,-1.0
Greece,Athens,2020-03-30,11,-0.6944444444444444
Greece,Athens,2020-03-31,12,-0.7
Greece,Athens,2020-04-01,11,-0.7380952380952381
Greece,Athens,2020-04-02,12,-0.7209302325581395
Greece,Athens,2020-04-03,13,-0.7045454545454546
Greece,Athens,2020-04-04,6,-0.7
Greece,Athens,2020-04-05,0,-1.0
Greece,Athens,2020-04-06,12,-0.6666666666666666
Greece,Athens,2020-04-07,12,-0.7
Greece,Athens,2020-04-08,12,-0.7142857142857143
Greece,Athens,2020-04-09,12,-0.7209302325581395
Greece,Athens,2020-04-10,13,-0.7045454545454546
Greece,Athens,2020-04-11,5,-0.75
Greece,Athens,2020-04-12,0,-1.0
Greece,Athens,2020-04-13,11,-0.6944444444444444
Greece,Athens,2020-04-14,13,-0.675
Greece,Athens,2020-04-15,12,-0.7142857142857143
Greece,Athens,2020-04-16,13,-0.6976744186046512
Greece,Athens,2020-04-17,2,-0.9545454545454546
Greece,Athens,2020-04-18,5,-0.75
Greece,Athens,2020-04-19,0,-1.0
Greece,Athens,2020-04-20,1,-0.9722222222222222
Greece,Athens,2020-04-21,11,-0.725
Greece,Athens,2020-04-22,12,-0.7142857142857143
Greece,Athens,2020-04-23,13,-0.6976744186046512
Greece,Athens,2020-04-24,14,-0.6818181818181818
Greece,Athens,2020-04-25,5,-0.75
Greece,Athens,2020-04-26,1,-0.9166666666666666
Greece,Athens,2020-04-27,13,-0.6388888888888888
Greece,Athens,2020-04-28,14,-0.65
Greece,Athens,2020-04-29,13,-0.6904761904761905
Greece,Athens,2020-04-30,15,-0.6511627906976745
Greece,Athens,2020-05-01,1,-0.9772727272727272
Greece,Athens,2020-05-02,7,-0.65
Greece,Athens,2020-05-03,1,-0.9166666666666666
Greece,Athens,2020-05-04,22,-0.3888888888888889
Greece,Athens,2020-05-05,22,-0.45
Greece,Athens,2020-05-06,21,-0.5
Greece,Athens,2020-05-07,20,-0.5348837209302325
Greece,Athens,2020-05-08,23,-0.4772727272727273
Greece,Athens,2020-05-09,13,-0.35
Greece,Athens,2020-05-10,7,-0.4166666666666667
Greece,Athens,2020-05-11,25,-0.3055555555555556
Greece,Athens,2020-05-12,26,-0.35
Greece,Athens,2020-05-13,25,-0.4047619047619048
Greece,Athens,2020-05-14,26,-0.3953488372093023
Greece,Athens,2020-05-15,28,-0.3636363636363637
Greece,Athens,2020-05-16,14,-0.3
Greece,Athens,2020-05-17,5,-0.5833333333333334
Greece,Athens,2020-05-18,27,-0.25
Greece,Athens,2020-05-19,29,-0.275
Greece,Athens,2020-05-20,28,-0.3333333333333333
Greece,Athens,2020-05-21,29,-0.32558139534883723
Greece,Athens,2020-05-22,31,-0.2954545454545455
Greece,Athens,2020-05-23,13,-0.35
Greece,Athens,2020-05-24,5,-0.5833333333333334
Greece,Athens,2020-05-25,27,-0.25
Greece,Athens,2020-05-26,35,-0.125
Greece,Athens,2020-05-27,29,-0.30952380952380953
Greece,Athens,2020-05-28,34,-0.20930232558139536
Greece,Athens,2020-05-29,35,-0.20454545454545456
Greece,Athens,2020-05-30,16,-0.2
Greece,Athens,2020-05-31,6,-0.5
Greece,Athens,2020-06-01,40,0.1111111111111111
Greece,Athens,2020-06-02,41,0.025
Greece,Athens,2020-06-03,42,0.0
Greece,Athens,2020-06-04,41,-0.04651162790697674
Greece,Athens,2020-06-05,41,-0.06818181818181818
Greece,Athens,2020-06-06,14,-0.3
Greece,Athens,2020-06-07,5,-0.5833333333333334
Greece,Athens,2020-06-08,8,-0.7777777777777778
Greece,Athens,2020-06-09,37,-0.075
Greece,Athens,2020-06-10,41,-0.023809523809523808
Greece,Athens,2020-06-12,42,-0.045454545454545456
Greece,Athens,2020-06-13,17,-0.15
Greece,Athens,2020-06-14,10,-0.16666666666666666
Greece,Athens,2020-06-15,35,-0.027777777777777776
Greece,Athens,2020-06-16,42,0.05
Greece,Athens,2020-06-17,39,-0.07142857142857142
Greece,Athens,2020-06-18,39,-0.09302325581395347
Greece,Athens,2020-06-19,39,-0.11363636363636365
