area,areaid,dailydose1,dailydose2,daydiff,daytotal,referencedate,totaldistinctpersons,totaldose1,totaldose2,totalvaccinations
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,273,88,-42,361,2021-03-11T00:00:00,10350,10350,4157,14507
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,848,178,-42,1026,2021-03-11T00:00:00,21408,21408,9808,31216
ΑΝΔΡΟΥ,1201,8,10,18,18,2021-03-11T00:00:00,305,305,271,576
ΑΡΓΟΛΙΔΑΣ,1001,181,32,-30,213,2021-03-11T00:00:00,6546,6546,2964,9510
ΑΡΚΑΔΙΑΣ,1002,181,27,-15,208,2021-03-11T00:00:00,6497,6497,2818,9315
ΑΡΤΑΣ,401,88,69,-11,157,2021-03-11T00:00:00,4998,4998,3140,8138
ΑΧΑΪΑΣ,702,615,135,14,750,2021-03-11T00:00:00,18731,18731,9935,28666
ΒΟΙΩΤΙΑΣ,801,335,42,-19,377,2021-03-11T00:00:00,9449,9449,2733,12182
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,3170,834,-313,4004,2021-03-11T00:00:00,118181,118181,46067,164248
ΓΡΕΒΕΝΩΝ,301,75,23,-11,98,2021-03-11T00:00:00,2685,2685,1208,3893
ΔΡΑΜΑΣ,101,230,35,7,265,2021-03-11T00:00:00,6485,6485,3198,9683
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,197,25,-57,222,2021-03-11T00:00:00,7680,7680,2994,10674
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,1227,189,31,1416,2021-03-11T00:00:00,31041,31041,17421,48462
ΕΒΡΟΥ,102,331,85,-33,416,2021-03-11T00:00:00,11884,11884,5414,17298
ΕΥΒΟΙΑΣ,802,456,104,2,560,2021-03-11T00:00:00,13985,13985,5915,19900
ΕΥΡΥΤΑΝΙΑΣ,803,35,10,-8,45,2021-03-11T00:00:00,1483,1483,676,2159
ΖΑΚΥΝΘΟΥ,601,64,24,1,88,2021-03-11T00:00:00,2276,2276,1336,3612
ΗΛΕΙΑΣ,703,307,47,-8,354,2021-03-11T00:00:00,8370,8370,3732,12102
ΗΜΑΘΙΑΣ,201,251,126,4,377,2021-03-11T00:00:00,9005,9005,4567,13572
ΗΡΑΚΛΕΙΟΥ,1301,511,175,-7,686,2021-03-11T00:00:00,19723,19723,9680,29403
ΘΑΣΟΥ,103,0,0,0,0,2021-03-11T00:00:00,441,441,427,868
ΘΕΣΠΡΩΤΙΑΣ,402,188,20,-2,208,2021-03-11T00:00:00,4825,4825,2175,7000
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,2120,794,-85,2914,2021-03-11T00:00:00,93128,93129,43186,136315
ΘΗΡΑΣ,1202,47,1,-6,48,2021-03-11T00:00:00,811,811,370,1181
ΙΘΑΚΗΣ,602,0,0,-24,0,2021-03-11T00:00:00,574,574,79,653
ΙΚΑΡΙΑΣ,1101,17,7,-5,24,2021-03-11T00:00:00,1395,1395,676,2071
ΙΩΑΝΝΙΝΩΝ,403,291,182,-18,473,2021-03-11T00:00:00,14221,14222,8160,22382
ΚΑΒΑΛΑΣ,104,242,74,20,316,2021-03-11T00:00:00,7869,7869,4383,12252
ΚΑΛΥΜΝΟΥ,1203,7,11,-12,18,2021-03-11T00:00:00,1446,1446,708,2154
ΚΑΡΔΙΤΣΑΣ,501,235,124,-19,359,2021-03-11T00:00:00,10420,10420,4225,14645
ΚΑΡΠΑΘΟΥ,1204,0,0,-18,0,2021-03-11T00:00:00,472,472,255,727
ΚΑΣΤΟΡΙΑΣ,302,187,20,4,207,2021-03-11T00:00:00,4565,4565,2026,6591
