id,Τίτλος,Περιοδικό,DOI,Αναφορές
pub.1125558806,Are patients with hypertension and diabetes mellitus at increased risk for COVID-19 infection?,The Lancet Respiratory Medicine,10.1016/s2213-2600(20)30116-8,1483
pub.1126755578,"COVID-19 and Thrombotic or Thromboembolic Disease: Implications for Prevention, Antithrombotic Therapy, and Follow-up",Journal of the American College of Cardiology,10.1016/j.jacc.2020.04.031,1281
pub.1126270893,Prediction models for diagnosis and prognosis of covid-19: systematic review and critical appraisal,The BMJ,10.1136/bmj.m1328,911
pub.1126837700,Complex Immune Dysregulation in COVID-19 Patients with Severe Respiratory Failure,Cell Host & Microbe,10.1016/j.chom.2020.04.009,772
pub.1127462932,"Prevalence of depression, anxiety, and insomnia among healthcare workers during the COVID-19 pandemic: A systematic review and meta-analysis",Brain Behavior and Immunity,10.1016/j.bbi.2020.05.026,661
pub.1126634965,Hematological findings and complications of COVID‐19,American Journal of Hematology,10.1002/ajh.25829,589
pub.1125669405,Induction of pro-inflammatory cytokines (IL-1 and IL-6) and lung inflammation by Coronavirus-19 (COVI-19 or SARS-CoV-2): anti-inflammatory strategies.,Journal of Biological Regulators and Homeostatic Agents,10.23812/conti-e,565
pub.1125802485,COVID-19 and smoking: A systematic review of the evidence,Tobacco Induced Diseases,10.18332/tid/119324,540
pub.1126110231,Covid-19: automatic detection from X-ray images utilizing transfer learning with convolutional neural networks,Physical and Engineering Sciences in Medicine,10.1007/s13246-020-00865-4,433
pub.1126863559,"A multinational, multicentre study on the psychological outcomes and associated physical symptoms amongst healthcare workers during COVID-19 outbreak",Brain Behavior and Immunity,10.1016/j.bbi.2020.04.049,426
pub.1126006460,"Data-based analysis, modelling and forecasting of the COVID-19 outbreak",PLOS ONE,10.1371/journal.pone.0230405,354
pub.1124368727,Full-genome evolutionary analysis of the novel corona virus (2019-nCoV) rejects the hypothesis of emergence as a result of a recent recombination event,Infection Genetics and Evolution,10.1016/j.meegid.2020.104212,334
pub.1127632407,"Severe obesity, increasing age and male sex are independently associated with worse in-hospital outcomes, and higher in-hospital mortality, in a cohort of patients with COVID-19 in the Bronx, New York",Metabolism,10.1016/j.metabol.2020.154262,296
pub.1126888102,Complement as a target in COVID-19?,Nature Reviews Immunology,10.1038/s41577-020-0320-7,244
